"","variable","all.mean","all.sd","all.n","maerl.mean","maerl.sd","maerl.n","rock.mean","rock.sd","rock.n","sand.mean","sand.sd","sand.n"
"ST+PC","richness",8.89208633093525,7.56830179307027,417,8.2,4.62474164620227,120,20.1935483870968,5.81650213226974,93,4.14705882352941,2.84370208586852,204
"ST","richness",9.78378378378378,7.96381317457053,148,11,4.9749371855331,41,20.4166666666667,5.1678953992068,36,3.69014084507042,3.00281558015984,71
"PC","richness",8.06083650190114,7.00027987880222,263,6.74683544303798,3.69846937997668,79,19.6666666666667,6.3044957503885,51,4.39097744360902,2.73538703279524,133
"ST+PC1","abundance",53.1918465227818,87.3648771548617,417,47.5916666666667,58.4930500552151,120,146.290322580645,126.447839447662,93,14.0441176470588,29.3242953914129,204
"ST1","abundance",63.3040540540541,98.8358536657998,148,72.8780487804878,60.5925717897628,41,150.416666666667,150.794349079419,36,13.6056338028169,24.1835120179251,71
"PC1","abundance",42.6882129277567,69.099066880391,263,34.4683544303797,53.1654011849325,79,129.509803921569,89.4168602779184,51,14.2781954887218,31.8141747956975,133
"ST+PC2","evenness",0.556019821386593,0.295541805514765,384,0.506239594775674,0.247774779462879,120,0.26415171573681,0.173508816908854,92,0.746865710416188,0.229526150088625,172
"ST2","evenness",0.496887340067482,0.310764565233946,132,0.414148776710574,0.271246643314759,41,0.241738255529979,0.109826880260803,36,0.725571851721724,0.264767301699326,55
"PC2","evenness",0.59732493088483,0.278043386530562,246,0.554033563644904,0.221722067758238,79,0.292376622456625,0.209143752074079,50,0.756875643990509,0.211450459745473,117
